title,link,published,summary
TCS to announce Q2 results today: 10 things to track and how to trade,https://economictimes.indiatimes.com/markets/stocks/earnings/tcs-to-announce-q2-results-today-10-things-to-track-and-how-to-trade/articleshow/124403310.cms,"Thu, 09 Oct 2025 08:24:06 +0530","Tata Consultancy Services announces its Q2 results today. Investors anticipate subdued growth and minimal margin changes. The company navigates challenges including employee separation, wage adjustments, and uncertain US demand. Key factors to watch include the impact of layoffs, US market outlook, revenue growth, and margin performance. Mega deals and vertical performance are also under scrutiny."
"Last day to buy Hexaware Technologies, 2 other stocks to qualify for dividends",https://economictimes.indiatimes.com/markets/stocks/news/last-day-to-buy-hexaware-technologies-2-other-stocks-to-qualify-for-dividends/articleshow/124403230.cms,"Thu, 09 Oct 2025 08:21:09 +0530","October 9 is the last day to buy shares of Hexaware Technologies, Rashtriya Chemicals &amp; Fertilizers, and Sacheta Metals to qualify for the announced dividends. Hexaware offers a 575% interim payout, RCF 13.2%, and Sacheta Metals 2.5%, with ex-dividend from October 10."
"Rubicon Research IPO: Check GMP, brokerages review, subscription and other details",https://economictimes.indiatimes.com/markets/ipos/fpos/rubicon-research-ipo-check-gmp-brokerages-review-subscription-and-other-details/articleshow/124403185.cms,"Thu, 09 Oct 2025 08:18:46 +0530","Rubicon Research's Rs 1,377 crore IPO opens on October 9. The specialty and generics pharmaceutical manufacturer offers shares at Rs 461-485. Grey market premium indicates strong listing expectations. Arihant Capital recommends subscribing due to growth and product pipeline. The company shows a financial turnaround with surging revenue and profit. This IPO offers exposure to a fast-scaling pharma exporter."
"Stocks to buy in 2025 for long term: Kaynes Technology, Titan among 4 stocks that could give 17-40% return",https://economictimes.indiatimes.com/markets/stocks/news/stocks-to-buy-in-2025-for-long-term-kaynes-technology-titan-among-4-stocks-that-could-give-17-40-return/slideshow/124403133.cms,"Thu, 09 Oct 2025 08:13:57 +0530",We have collated a list of recommendations from top brokerage firms from ETNow and other sources.
Canara Robeco AMC IPO opens for subscription; GMP at 13%. Should you apply?,https://economictimes.indiatimes.com/markets/ipos/fpos/canara-robeco-amc-ipo-opens-for-subscription-gmp-at-13-should-you-apply/articleshow/124403054.cms,"Thu, 09 Oct 2025 08:13:05 +0530","Canara Robeco Asset Management Company's Rs 1,326 crore IPO opens on October 9. The issue is priced between Rs 253 and Rs 266 per share. Analysts are optimistic about its long-term prospects. The fund house focuses on retail investors and has a strong AUM expansion. Its financial performance shows consistent growth. This IPO is seen as a steady, long-term investment."
"Tata Capital IPO allotment: How to check status, GMP trend, and what to expect on listing day",https://economictimes.indiatimes.com/markets/ipos/fpos/tata-capital-ipo-allotment-how-to-check-status-gmp-trend-and-what-to-expect-on-listing-day/articleshow/124402820.cms,"Thu, 09 Oct 2025 08:10:32 +0530",Tata Capital IPO allotment results are expected on October 9. Investors can check their status via the registrar or BSE. Refunds and UPI mandate releases are scheduled for October 10. Successful applicants will see shares credited to their demat accounts the same day. The company is set to list on the BSE and NSE on October 13.
"Tata Capital IPO Allotment Status Live: How to Check Status on BSE, MUFG Intime India; GMP shows 1.07% Listing Gains. See details here",https://economictimes.indiatimes.com/markets/stocks/live-blog/tata-capital-ipo-allotment-status-gmp-share-price-listing-expectations-date-time-expert-review-latest-ipo-news/liveblog/124402890.cms,"Thu, 09 Oct 2025 08:05:26 +0530",
RBL Bank among 5 tocks closed crossing above VWAP,https://economictimes.indiatimes.com/markets/stocks/news/rbl-bank-among-5-tocks-closed-crossing-above-vwap/slideshow/124402910.cms,"Thu, 09 Oct 2025 08:05:01 +0530","Five Nifty500 stocks, including RBL Bank, Indiamart Intermesh, and AIA Engineering, closed above their VWAP on October 8, signaling potential bullish momentum and positive market sentiment."
HCL Technologies and 9 other stocks showing Bullish RSI upswing,https://economictimes.indiatimes.com/markets/stocks/news/hcl-technologies-and-9-other-stocks-showing-bullish-rsi-upswing/slideshow/124402866.cms,"Thu, 09 Oct 2025 07:58:27 +0530","Ten Nifty500 stocks, including HCL Technologies, Infosys, Titan Company, and Nestle India, showed a bullish RSI upswing on October 8, signaling strengthening price momentum."
Negative Breakout: These 9 stocks close cross below their 200 DMAs,https://economictimes.indiatimes.com/markets/stocks/news/negative-breakout-these-9-stocks-close-cross-below-their-200-dmas/slideshow/124402873.cms,"Thu, 09 Oct 2025 07:52:20 +0530","Nine Nifty200 stocks, including Tata Motors, GAIL, and Asian Paints, slipped below their 200-day moving averages on October 8, signaling potential weakness in their long-term trend."
M3M India completes high-street retail project in Gurugram at Rs 800 cr cost,https://economictimes.indiatimes.com/markets/digital-real-estate/realty-news/m3m-india-completes-high-street-retail-project-in-gurugram-at-rs-800-cr-cost/articleshow/124402737.cms,"Thu, 09 Oct 2025 07:48:16 +0530","Realty firm M3M India has finished a major retail project in Gurugram. The project, named M3M Route 65, involved an investment of Rs 800 crore. It spans 4 acres and offers 5.64 lakh sq ft of commercial space. The project will become fully operational by March next year. Retail space handover begins this month."
Ajmera Realty &amp; Infra Q2 sales bookings jump nearly three-fold to Rs 720cr,https://economictimes.indiatimes.com/markets/digital-real-estate/realty-news/ajmera-realty-infra-q2-sales-bookings-jump-nearly-three-fold-to-rs-720cr/articleshow/124402718.cms,"Thu, 09 Oct 2025 07:46:10 +0530","Ajmera Realty &amp; Infra India Ltd reported a significant surge in sales bookings, reaching Rs 720 crore in the second quarter of this fiscal, a nearly threefold increase from Rs 254 crore in the previous year. For the first half of the fiscal, sales bookings climbed 48% to Rs 828 crore, indicating robust demand for the company's housing projects."
"Prestige Estates Q2 sales bookings jump 50 pc to Rs 6,017 cr on strong housing demand",https://economictimes.indiatimes.com/markets/digital-real-estate/realty-news/prestige-estates-q2-sales-bookings-jump-50-pc-to-rs-6017-cr-on-strong-housing-demand/articleshow/124402699.cms,"Thu, 09 Oct 2025 07:44:13 +0530","Prestige Estates Projects Ltd witnessed a remarkable 50% surge in sales bookings, reaching Rs 6,017.3 crore in Q2, fueled by robust housing demand.  The company achieved record first-half sales of Rs 18,143.7 crore, surpassing its full-year FY25 target.  Strong performances were noted across Bengaluru, NCR, and Mumbai, highlighting broad market appeal and successful project execution."
Rubicon Research raises Rs 619 crore from anchor investors ahead of IPO launch,https://economictimes.indiatimes.com/markets/ipos/fpos/rubicon-research-raises-rs-619-crore-from-anchor-investors-ahead-of-ipo-launch/articleshow/124402684.cms,"Thu, 09 Oct 2025 07:42:45 +0530","Rubicon Research has secured Rs 619 crore from anchor investors, including global giants like Goldman Sachs, ahead of its Rs 1,377.5 crore IPO. The pharmaceutical firm's public offering opens October 9, aiming to raise funds for debt repayment and strategic growth.  The company, focused on R&amp;D and specialty products for regulated markets, expects its stock market debut on October 16."
Gold pauses after record rally on safe-haven demand,https://economictimes.indiatimes.com/markets/commodities/news/gold-pauses-after-record-rally-on-safe-haven-demand/articleshow/124402651.cms,"Thu, 09 Oct 2025 07:39:03 +0530","Gold prices dipped slightly on Thursday after reaching a record high of $4,059.05 the previous day, as investors took profits amidst ongoing economic and geopolitical uncertainties. Hopes for further U.S. interest rate cuts continue to support the precious metal, which has seen significant gains this year due to strong central bank buying and ETF demand."
