title,link,published,summary
Netweb Technologies shares in focus on partnership to build AI infrastructure solutions,https://economictimes.indiatimes.com/markets/stocks/news/netweb-technologies-shares-in-focus-on-partnership-to-build-ai-infrastructure-solutions/articleshow/124404085.cms,"Thu, 09 Oct 2025 09:22:55 +0530","Netweb Technologies India has partnered with Bengaluru-based Bud Ecosystem to develop affordable, localized AI infrastructure solutions for India. The collaboration will produce modular, scalable AI-in-a-Box systems combining optimized hardware and software, enabling AI adoption even in low-connectivity environments. Customers can start with CPU-based setups and seamlessly upgrade to advanced GPU or accelerator-based configurations as required."
Hitachi Energy among 5 F&amp;O stocks that saw high increase in futures open interest,https://economictimes.indiatimes.com/markets/stocks/news/hitachi-energy-among-5-fo-stocks-that-saw-high-increase-in-futures-open-interest/slideshow/124404146.cms,"Thu, 09 Oct 2025 09:17:31 +0530","A sharp rise in open interest indicates a higher number of active, unexpired futures contracts, suggesting that more market participants are either initiating new positions or adding to existing ones."
"India’s office market crosses 1 billion sq ft, rents on the rise: Knight Frank study",https://economictimes.indiatimes.com/markets/digital-real-estate/realty-news/indias-office-market-crosses-1-billion-sq-ft-rents-on-the-rise-knight-frank-study/articleshow/124403959.cms,"Thu, 09 Oct 2025 09:15:17 +0530","India's office real estate is on track for a record-breaking 2025, with Q3 leasing hitting 17.8 million sq ft.  Strong demand from Global Capability Centres and IT services is driving growth, pushing year-to-date leasing up 24%.  Vacancy rates have fallen to 14.5%, and rents are steadily climbing across major cities, signaling a robust market."
Naukri gains spotlight after Q2 business update shows 12% growth in billings,https://economictimes.indiatimes.com/markets/stocks/news/naukri-gains-spotlight-after-q2-business-update-shows-12-growth-in-billings/articleshow/124403926.cms,"Thu, 09 Oct 2025 09:11:17 +0530","Info Edge (India), the parent of Naukri.com, reported a 12.1% YoY rise in standalone billings to Rs 729 crore for Q2FY26, driven by steady growth across its Recruitment Solutions and 99acres segments. Half-year billings rose to Rs 1,373 crore. The company said these unaudited figures are subject to review by its board and auditors."
Markets in wait-and-watch mode; festive consumption &amp; manufacturing revival could drive next rally: Dikshit Mittal,https://economictimes.indiatimes.com/markets/expert-view/markets-in-wait-and-watch-mode-festive-consumption-manufacturing-revival-could-drive-next-rally-dikshit-mittal/articleshow/124385864.cms,"Thu, 09 Oct 2025 09:11:00 +0530","Indian markets are building a foundation for a future rally. Strong third-quarter growth, festive consumption, and policy support are expected to trigger an upward breakout later this year. Domestic liquidity remains robust. Consumption and discretionary spending are set to lead, with manufacturing and semiconductors also showing promise. Investors should stay invested in quality stocks for the next growth cycle."
Diwali 2025 Picks: Asit C. Mehta recommends these 9 stocks with up to 54% upside,https://economictimes.indiatimes.com/markets/stocks/news/diwali-2025-picks-asit-c-mehta-recommends-these-9-stocks-with-up-to-54-upside/slideshow/124403889.cms,"Thu, 09 Oct 2025 09:02:58 +0530","Asit C. Mehta has unveiled its top Diwali 2025 portfolio, recommending nine stocks across infrastructure, logistics, hospitality, and pharmaceuticals. These picks, including Power Mech Projects and Gravita India, offer significant upside potential, with some projected to gain over 50% by Diwali 2025."
"Fixed income set to perform well amid limited easing room, says Churchil Bhatt",https://economictimes.indiatimes.com/markets/digital-real-estate/realty-news/fixed-income-set-to-perform-well-amid-limited-easing-room-says-churchil-bhatt/articleshow/124387127.cms,"Thu, 09 Oct 2025 09:00:00 +0530",Fixed income assets are poised for strong performance over the next year. Churchil Bhatt of Kotak Mahindra Life Insurance highlights supportive macroeconomic conditions. Investors can anticipate better-than-average returns. Recent RBI policy signals potential rate cuts. New banking reforms are set to boost M&amp;A financing and corporate borrowing. This presents a favorable environment for fixed income investments.
"ETMarkets Smart Talk: This is a sideways market, time for smart stock picking, says PL Capital’s Vikram Kasat",https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-this-is-a-sideways-market-time-for-smart-stock-picking-says-pl-capitals-vikram-kasat/articleshow/124386444.cms,"Thu, 09 Oct 2025 09:00:00 +0530","Despite positive economic data, Indian equities are expected to trade sideways due to valuation concerns and consistent FII selling. Vikram Kasat of PL Capital highlights this as a stock-picker's market, favoring selective opportunities in sectors like metals, autos, and defence, alongside promising new-age listings."
"Buy Titan, watch Trent: ICICI Direct's Kaustubh Pawaskar on what’s next for Tata retail stocks",https://economictimes.indiatimes.com/markets/expert-view/buy-titan-watch-trent-icici-directs-kaustubh-pawaskar-on-whats-next-for-tata-retail-stocks/articleshow/124385373.cms,"Thu, 09 Oct 2025 09:00:00 +0530","Tata Group's retail performance shows a divergence, with Titan Company's jewellery segment exceeding expectations while Trent Ltd. experienced slower-than-anticipated growth. Titan's strong festive demand and studded jewellery sales drove its success, while Trent anticipates a rebound in the festive-heavy third quarter following a slowdown attributed to GST rate cuts and a high base effect."
ETMarkets Smart Talk: From festive demand to IPO frenzy: Why Nikhil Khandelwal remains bullish on FY26,https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-from-festive-demand-to-ipo-frenzy-why-nikhil-khandelwal-remains-bullish-on-fy26/articleshow/124381452.cms,"Thu, 09 Oct 2025 09:00:00 +0530","Indian markets are poised for growth in FY26. Strong domestic economic activity, a booming IPO market, and increasing SIP investments are key drivers. Festive demand and GST benefits are boosting consumption. Experts anticipate double-digit gains for the financial year. The primary market offers unique, fast-growing companies at attractive valuations. SIP growth reflects increasing investor participation."
ETMarkets Smart Talk | Structural bull run intact; expect sustainable 12–14% returns ahead: Amar Ambani,https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-structural-bull-run-intact-expect-sustainable-1214-returns-ahead-amar-ambani/articleshow/124381317.cms,"Thu, 09 Oct 2025 09:00:00 +0530","Despite global headwinds, the Indian equity market shows resilience, with Amar Ambani of YES SECURITIES predicting sustainable 12-14% returns. He highlights strong domestic flows, robust corporate fundamentals, and policy tailwinds supporting a structural bull run, while expecting an earnings revival in H2 FY26."
"InCred Equities lists HDFC Bank, among 9 other stocks as top 10 high conviction picks. Check full list",https://economictimes.indiatimes.com/markets/stocks/news/incred-equities-lists-hdfc-bank-among-9-other-stocks-as-top-10-high-conviction-picks-check-full-list/slideshow/124403696.cms,"Thu, 09 Oct 2025 08:47:13 +0530","InCred Equities had named HDFC Bank, Bajaj Auto, Axis Bank, and seven other stocks as its top 10 high-conviction “ADD” picks for October 2025, highlighting strong growth potential, robust fundamentals, and attractive valuations."
