title,link,published,summary,sentiment_label,sentiment_score
"Indian Bank, Canara Bank jump 40% in FY26. Are PSU bank stocks set for a golden comeback?",https://economictimes.indiatimes.com/markets/stocks/news/indian-bank-canara-bank-jump-40-in-fy26-are-psu-bank-stocks-set-for-a-golden-comeback/articleshow/124336126.cms,"Mon, 06 Oct 2025 15:02:47 +0530","Public sector banks have staged a major comeback in FY26, with the Nifty PSU Bank Index soaring 20% in six months. Indian Bank and Canara Bank lead gains, each up nearly 41%. Analysts see PSU lenders outperforming private peers as profits, RoA, and credit growth improve.",negative,-0.8762698392383754
"KIOCL shares soar 19%, extend three-session rally to 48%; exchanges seek clarification on unusual volume spike",https://economictimes.indiatimes.com/markets/stocks/news/kiocl-shares-soar-19-extend-three-session-rally-to-48-exchanges-seek-clarification-on-unusual-volume-spike/articleshow/124336051.cms,"Mon, 06 Oct 2025 14:58:36 +0530","KIOCL shares soared 19% to a 52-week high of Rs 629.30 amid heavy volumes, prompting exchanges to seek clarification. The PSU stock has jumped nearly 48% in three sessions, delivering over 230% returns in three years despite weak Q1 results and volatility concerns.",neutral,-0.07867049484048039
FIIs buying 8 Debt-free smallcap stocks — rally up to 70% in FY26! Missing Out?,https://economictimes.indiatimes.com/markets/stocks/news/fiis-buying-8-debt-free-smallcap-stocks-rally-up-to-70-in-fy26-missing-out/slideshow/124335957.cms,"Mon, 06 Oct 2025 14:44:42 +0530","FIIs have increased their stakes in eight debt-free smallcap stocks that rallied up to 70% in FY26, reflecting renewed investor confidence in financially strong, zero-debt companies with solid growth potential.",neutral,0.046668510884046555
"BSE shares rally 5% as IIFL assigns Rs 2,300 target on softer than feared expiry swap impact",https://economictimes.indiatimes.com/markets/stocks/news/bse-shares-rally-5-as-iifl-assigns-rs-2300-target-on-softer-than-feared-expiry-swap-impact/articleshow/124335244.cms,"Mon, 06 Oct 2025 14:17:28 +0530","Shares of BSE Ltd rose sharply on Monday after IIFL noted that the expiry day swap impact was softer than expected. Strong derivatives activity and resilient market share support the rally, with IIFL maintaining an “Add” rating and a target of Rs 2,300.",positive,0.7888479012181051
"As the dollar falls, metals rise: 2025 turns into a golden year for commodities",https://economictimes.indiatimes.com/markets/commodities/news/as-the-dollar-falls-metals-rise-2025-turns-into-a-golden-year-for-commodities/articleshow/124335096.cms,"Mon, 06 Oct 2025 14:13:10 +0530","Metals are surging in 2025 amid tightening supply, robust industrial demand, and a structurally weakening U.S. dollar. Gold, silver, and platinum shine as safe-haven and investment assets, while copper, zinc, and aluminium benefit from green economy momentum. With inventories shrinking and the Fed leaning dovish, metals remain bullish—while the dollar clings to critical support, facing mounting macro and technical pressures.",negative,-0.9871170688420534
F&amp;O Radar| Deploy Bull Call Spread in Nifty to capitalize on potential index reversal,https://economictimes.indiatimes.com/markets/options/fo-radar-deploy-bull-call-spread-in-nifty-to-capitalize-on-potential-index-reversal/articleshow/124334962.cms,"Mon, 06 Oct 2025 14:05:22 +0530","The Nifty index recorded a modest recovery of 0.97% on the weekly chart. However, the broader technical structure remains weak as the index continues to form lower highs and lower lows.",neutral,-3.873157170630748e-05
India's office leasing hits record 59.6 mn sq. ft from January to September,https://economictimes.indiatimes.com/markets/digital-real-estate/realty-news/indias-office-leasing-hits-record-59-6-mn-sq-ft-from-january-to-september/articleshow/124334888.cms,"Mon, 06 Oct 2025 13:55:46 +0530","India's office leasing market achieved a record performance in the first nine months of 2025, with the absorption hitting 59.6 million square feet, a report said on Monday.",neutral,-0.13181534339673817
Saudi Arabia's PIF plans dual-tranche green bond sale -IFR,https://economictimes.indiatimes.com/markets/bonds/saudi-arabias-pif-plans-dual-tranche-green-bond-sale-ifr/articleshow/124334828.cms,"Mon, 06 Oct 2025 13:50:55 +0530","Saudi Arabia's Public Investment Fund plans to issue a two-part euro-denominated green bond, fixed-income news service IFR reported on Monday.",negative,-0.9999519720695389
"Private banks, consumption and metals drive optimism amid earnings season",https://economictimes.indiatimes.com/markets/expert-view/private-banks-consumption-and-metals-drive-optimism-amid-earnings-season/articleshow/124334810.cms,"Mon, 06 Oct 2025 13:50:16 +0530","Market experts are closely monitoring private banks for structural growth, expecting them to outpace the industry. Consumption plays are set to benefit from GST rationalization, while metals exhibit strong domestic volume growth and attractive valuations. The IT sector also presents appealing valuations, with earnings growth anticipated as macro factors remain constructive for overall economic acceleration.",neutral,-5.18854778874811e-06
Mann Fleet Partners files draft IPO papers with Sebi,https://economictimes.indiatimes.com/markets/ipos/fpos/mann-fleet-partners-files-draft-ipo-papers-with-sebi/articleshow/124334754.cms,"Mon, 06 Oct 2025 13:47:53 +0530",Chauffeured car rental and mobility solutions provider Mann Fleet Partners Ltd on Monday said it has filed its draft papers with markets regulator Sebi to raise funds through an Initial Public Offering (IPO).,negative,-0.999879368206166
Q2 preview: Coforge set to lead IT earnings as mid-tier firms outshine largecaps; 8 stocks to buy,https://economictimes.indiatimes.com/markets/stocks/news/q2-preview-coforge-set-to-lead-it-earnings-as-mid-tier-firms-outshine-largecaps-8-stocks-to-buy/articleshow/124334348.cms,"Mon, 06 Oct 2025 13:27:03 +0530","Mid-tier IT firms like Coforge, Persistent, Mphasis, and Hexaware are expected to drive Q2FY26 revenue growth, outperforming largecaps amid macro headwinds and pricing pressures. Motilal Oswal and Nuvama highlight opportunities in mid-tier and select largecap IT stocks for medium-to-long-term gains.",neutral,-0.05891755602351623
Amnish Aggarwal sees boost for hospital margins amid policy changes,https://economictimes.indiatimes.com/markets/expert-view/amnish-aggarwal-sees-boost-for-hospital-margins-amid-policy-changes/articleshow/124333989.cms,"Mon, 06 Oct 2025 13:06:22 +0530","Healthcare stocks anticipate improved margins and steady growth following policy changes, with Apollo and Fortis noted as attractive. Marico demonstrates stable FMCG performance despite profitability pressures from rising copra prices and GST. Conversely, Avenue Supermarts faced growth headwinds, while large primary issuances may temporarily impact secondary market liquidity.",neutral,-3.855327945778697e-09
Netweb Technologies shares soar 19% in a week. 5 factors driving the rally,https://economictimes.indiatimes.com/markets/stocks/news/netweb-technologies-shares-soar-19-in-a-week-5-factors-driving-the-rally/articleshow/124333782.cms,"Mon, 06 Oct 2025 12:56:32 +0530","Netweb Technologies shares surged 19%, hitting a 52-week high on robust AI infrastructure order wins, cloud adoption tailwinds, expansion initiatives, strong technical momentum, and rising profitability, attracting investor attention in tech.",neutral,-1.7538089096547083e-06
LG Electronics IPO GMP hints at double-digit returns. Should you subscribe?,https://economictimes.indiatimes.com/markets/ipos/fpos/lg-electronics-ipo-gmp-hints-at-double-digit-returns-should-you-subscribe/articleshow/124333781.cms,"Mon, 06 Oct 2025 12:54:29 +0530","LG Electronics India's IPO opens tomorrow, October 7, with strong grey market buzz predicting a 22% listing gain. Priced at Rs 1,080-1,140 per share, the Rs 11,607-crore offering has analysts recommending ""Subscribe"" due to LG's market leadership and growth prospects in India's booming home appliances sector. Listing is expected on October 14.",neutral,-0.013921788980951533
"Raamdeo Agrawal on future of Indian market: $32 trillion GDP by 2047, strong credit growth, and a golden era for investors",https://economictimes.indiatimes.com/markets/expert-view/raamdeo-agrawal-on-future-of-indian-market-32-trillion-gdp-by-2047-strong-credit-growth-and-a-golden-era-for-investors/articleshow/124333044.cms,"Mon, 06 Oct 2025 12:33:45 +0530","Raamdeo Agrawal predicts India will become a $32 trillion economy by 2047, entering a golden era of wealth creation. He stresses discipline and patience for investors, seeing India as a once-in-a-lifetime compounding opportunity driven by GST cuts, credit growth, and strong fundamentals. Banks, NBFCs, and consumer sectors are expected to lead this charge.",neutral,5.163608207681136e-09
"Probal Sen sees stronger balance sheets, better margins for OMCs",https://economictimes.indiatimes.com/markets/expert-view/probal-sen-sees-stronger-balance-sheets-better-margins-for-omcs/articleshow/124332687.cms,"Mon, 06 Oct 2025 12:09:34 +0530","OPEC's tempered approach to output helps control global oil prices. This action provides market stability. Demand estimates remain uncertain, with US inventory builds noted. Price stability is likely for the near to medium term. Indian oil marketing companies benefit. They show solid earnings and stronger balance sheets. Valuations suggest adding positions in these stocks.",neutral,3.349899246885002e-10
