title,link,published,summary
FIIs boosted holdings in staterun banks in the September quarter Is the smart money betting on a breakout,https://economictimes.indiatimes.com/markets/stocks/news/fiis-boosted-holdings-in-state-run-banks-in-the-september-quarter-is-the-smart-money-betting-on-a-breakout/articleshow/125009649.cms,"Sat, 01 Nov 2025 09:47:53 +0530",
Rekha Jhunjhunwala buys 1 crore shares of multibagger PSU stock after Federal Bank Titan Company in Q2,https://economictimes.indiatimes.com/markets/stocks/news/rekha-jhunjhunwala-buys-1-crore-shares-of-multibagger-psu-stock-after-federal-bank-titan-company-in-q2/articleshow/125009601.cms,"Sat, 01 Nov 2025 09:44:52 +0530",
Banks tap Fed Standing Repo Facility in record numbers amid monthend pressures,https://economictimes.indiatimes.com/markets/stocks/news/banks-tap-fed-standing-repo-facility-in-record-numbers-amid-month-end-pressures/articleshow/125009543.cms,"Sat, 01 Nov 2025 09:36:02 +0530",
Wall Street Week Ahead Resilient stocks rally faces earnings wave after AI Fed wobbles,https://economictimes.indiatimes.com/markets/stocks/news/wall-st-week-ahead-resilient-stocks-rally-faces-earnings-wave-after-ai-fed-wobbles/articleshow/125009503.cms,"Sat, 01 Nov 2025 09:32:32 +0530",
5 world market themes for the week ahead,https://economictimes.indiatimes.com/markets/stocks/news/5-world-market-themes-for-the-week-ahead/articleshow/125009443.cms,"Sat, 01 Nov 2025 09:28:55 +0530",
Feds Waller calls for December rate cut as hawks press for policy pause,https://economictimes.indiatimes.com/markets/stocks/news/feds-waller-calls-for-december-rate-cut-as-hawks-press-for-policy-pause/articleshow/125009401.cms,"Sat, 01 Nov 2025 09:24:22 +0530",
Wall Street gains on Amazon boost but rate caution tempers enthusiasm,https://economictimes.indiatimes.com/markets/stocks/news/wall-street-gains-on-amazon-boost-but-rate-caution-tempers-enthusiasm/articleshow/125009377.cms,"Sat, 01 Nov 2025 09:21:58 +0530",
Nvidia CEO Jensen Huang completes 1 billion share sale,https://economictimes.indiatimes.com/markets/stocks/news/nvidia-ceo-jensen-huang-completes-1-billion-share-sale/articleshow/125009132.cms,"Sat, 01 Nov 2025 08:52:45 +0530",
How will Sebis changes to banking indices impact investors,https://economictimes.indiatimes.com/markets/stocks/news/how-will-sebis-changes-to-banking-indices-impact-investors/articleshow/125008786.cms,"Sat, 01 Nov 2025 08:12:43 +0530",
ACC Q2 net profit soars 5x to Rs 1119 crore on tax writeback and record sales,https://economictimes.indiatimes.com/markets/stocks/earnings/acc-q2-net-profit-soars-5x-to-rs-1119-crore-on-tax-write-back-and-record-sales/articleshow/125008594.cms,"Sat, 01 Nov 2025 07:46:45 +0530",
Shutdown of weekly options not practical says Sebi Chairman,https://economictimes.indiatimes.com/markets/stocks/news/shutdown-of-weekly-options-not-practical-says-sebi-chairman/articleshow/125008435.cms,"Sat, 01 Nov 2025 07:27:42 +0530",
DStreet hits pause on Feds rate cues focus turns to trade deal,https://economictimes.indiatimes.com/markets/stocks/news/d-street-hits-pause-on-feds-rate-cues-focus-turns-to-trade-deal/articleshow/125008394.cms,"Sat, 01 Nov 2025 07:20:28 +0530",
United Spirits warns of tough H2 despite strong Q2 led by premium brands,https://economictimes.indiatimes.com/markets/stocks/news/united-spirits-warns-of-tough-h2-despite-strong-q2-led-by-premium-brands/articleshow/124997200.cms,"Fri, 31 Oct 2025 19:48:50 +0530",
