title,link,published
Scared of the AI bubble Hedge your fears with DSt bets HSBC,https://economictimes.indiatimes.com/markets/stocks/news/scared-of-the-ai-bubble-hedge-your-fears-with-d-st-bets-hsbc/articleshow/125178737.cms,"Sat, 08 Nov 2025 10:37:23 +0530"
Torrent Pharma Q2 PAT jumps 30 YoY to Rs 591 crore,https://economictimes.indiatimes.com/markets/stocks/earnings/torrent-pharma-q2-pat-jumps-30-yoy-to-rs-591-crore/articleshow/125178686.cms,"Sat, 08 Nov 2025 10:31:27 +0530"
Time Technoplast floats QIP for Rs 800 crore,https://economictimes.indiatimes.com/markets/stocks/news/time-technoplast-floats-qip-for-rs-800-crore/articleshow/125178646.cms,"Sat, 08 Nov 2025 10:27:42 +0530"
Vanguards India Portfolio Shines 10 Stocks rally up to 90 in FY26 Do you own any,https://economictimes.indiatimes.com/markets/stocks/news/vanguards-india-portfolio-shines-10-stocks-rally-up-to-90-in-fy26-do-you-own-any/slideshow/125178413.cms,"Sat, 08 Nov 2025 09:57:52 +0530"
Tailwinds for rally fade focus on Bihar results US equation,https://economictimes.indiatimes.com/markets/stocks/news/tailwinds-for-rally-fade-focus-on-bihar-results-us-equation/articleshow/125178123.cms,"Sat, 08 Nov 2025 09:44:40 +0530"
Europes STOXX 600 ends volatile week lower ITV soars,https://economictimes.indiatimes.com/markets/stocks/news/europes-stoxx-600-ends-volatile-week-lower-itv-soars/articleshow/125177864.cms,"Sat, 08 Nov 2025 09:18:58 +0530"
Nasdaq posts worst week since April amid AI rally jitters US yields slip,https://economictimes.indiatimes.com/markets/stocks/news/nasdaq-posts-worst-week-since-april-amid-ai-rally-jitters-us-yields-slip/articleshow/125177839.cms,"Sat, 08 Nov 2025 09:15:41 +0530"
Wall Street Week Ahead Investors watching US economic signs as market pulls back tech teeters,https://economictimes.indiatimes.com/markets/stocks/news/wall-street-week-ahead-investors-watching-us-economic-signs-as-market-pulls-back-tech-teeters/articleshow/125177792.cms,"Sat, 08 Nov 2025 09:10:11 +0530"
Hindalco to infuse 750 million equity into US unit Novelis,https://economictimes.indiatimes.com/markets/stocks/news/hindalco-to-infuse-750-million-equity-into-us-unit-novelis/articleshow/125177892.cms,"Sat, 08 Nov 2025 00:16:35 +0530"
Arvind Ltd realigns supply chain expands beyond US to beat tariff hit,https://economictimes.indiatimes.com/markets/stocks/earnings/arvind-ltd-realigns-supply-chain-expands-beyond-us-to-beat-tariff-hit/articleshow/125165928.cms,"Fri, 07 Nov 2025 21:51:17 +0530"
Puravankara reports Rs 663 crore revenue in Q2FY26 28 growth YoY,https://economictimes.indiatimes.com/markets/stocks/earnings/puravankara-reports-rs-663-crore-revenue-in-q2fy26-28-growth-yoy/articleshow/125165902.cms,"Fri, 07 Nov 2025 21:44:58 +0530"
